"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","2016",1.876901258,
"OECD","QGDP","TOT","PC_CHGPP","A","2017",2.619573368,
"OECD","QGDP","TOT","PC_CHGPP","A","2018",2.380198834,
"OECD","QGDP","TOT","PC_CHGPP","A","2019",1.624185479,
"OECD","QGDP","TOT","PC_CHGPP","A","2020",-4.721562716,
"EST","QGDP","TOT","PC_CHGPP","A","2016",3.187819474,
"EST","QGDP","TOT","PC_CHGPP","A","2017",5.499151758,
"EST","QGDP","TOT","PC_CHGPP","A","2018",4.355465207,
"EST","QGDP","TOT","PC_CHGPP","A","2019",4.996442493,
"EST","QGDP","TOT","PC_CHGPP","A","2020",-2.932246063,
"ESP","QGDP","TOT","PC_CHGPP","A","2016",3.031301,
"ESP","QGDP","TOT","PC_CHGPP","A","2017",2.973641191,
"ESP","QGDP","TOT","PC_CHGPP","A","2018",2.430047145,"P"
"ESP","QGDP","TOT","PC_CHGPP","A","2019",1.950212288,"P"
"ESP","QGDP","TOT","PC_CHGPP","A","2020",-10.83902202,"P"
"DNK","QGDP","TOT","PC_CHGPP","A","2016",3.245949426,
"DNK","QGDP","TOT","PC_CHGPP","A","2017",2.821749347,
"DNK","QGDP","TOT","PC_CHGPP","A","2018",2.175634137,
"DNK","QGDP","TOT","PC_CHGPP","A","2019",2.849512622,
"DNK","QGDP","TOT","PC_CHGPP","A","2020",-2.733279168,
"JPN","QGDP","TOT","PC_CHGPP","A","2016",0.753826606,
"JPN","QGDP","TOT","PC_CHGPP","A","2017",1.675312997,
"JPN","QGDP","TOT","PC_CHGPP","A","2018",0.558851275,
"JPN","QGDP","TOT","PC_CHGPP","A","2019",0.013296037,
"JPN","QGDP","TOT","PC_CHGPP","A","2020",-4.663005602,
"NOR","QGDP","TOT","PC_CHGPP","A","2016",1.071545329,
"NOR","QGDP","TOT","PC_CHGPP","A","2017",2.323265143,
"NOR","QGDP","TOT","PC_CHGPP","A","2018",1.118854417,
"NOR","QGDP","TOT","PC_CHGPP","A","2019",0.851852894,
"NOR","QGDP","TOT","PC_CHGPP","A","2020",-0.765866836,
"BEL","QGDP","TOT","PC_CHGPP","A","2016",1.266855611,
"BEL","QGDP","TOT","PC_CHGPP","A","2017",1.621640836,
"BEL","QGDP","TOT","PC_CHGPP","A","2018",1.787683963,
"BEL","QGDP","TOT","PC_CHGPP","A","2019",1.784695605,
"BEL","QGDP","TOT","PC_CHGPP","A","2020",-6.283889178,"P"
"HUN","QGDP","TOT","PC_CHGPP","A","2016",2.139992849,
"HUN","QGDP","TOT","PC_CHGPP","A","2017",4.316781107,
"HUN","QGDP","TOT","PC_CHGPP","A","2018",5.399712041,
"HUN","QGDP","TOT","PC_CHGPP","A","2019",4.641294526,"P"
"HUN","QGDP","TOT","PC_CHGPP","A","2020",-4.956746202,"P"
"KOR","QGDP","TOT","PC_CHGPP","A","2016",2.946882,
"KOR","QGDP","TOT","PC_CHGPP","A","2017",3.159636,
"KOR","QGDP","TOT","PC_CHGPP","A","2018",2.907398,
"KOR","QGDP","TOT","PC_CHGPP","A","2019",2.03934834,"P"
"KOR","QGDP","TOT","PC_CHGPP","A","2020",-0.957771684,"P"
"AUT","QGDP","TOT","PC_CHGPP","A","2016",1.989436707,
"AUT","QGDP","TOT","PC_CHGPP","A","2017",2.399587106,
"AUT","QGDP","TOT","PC_CHGPP","A","2018",2.580118757,
"AUT","QGDP","TOT","PC_CHGPP","A","2019",1.418736793,
"AUT","QGDP","TOT","PC_CHGPP","A","2020",-6.259035181,
"IDN","QGDP","TOT","PC_CHGPP","A","2016",5.033069,
"IDN","QGDP","TOT","PC_CHGPP","A","2017",5.069786,
"IDN","QGDP","TOT","PC_CHGPP","A","2018",5.17429154,
"IDN","QGDP","TOT","PC_CHGPP","A","2019",5.018159715,
"IDN","QGDP","TOT","PC_CHGPP","A","2020",-2.069543499,
"SVK","QGDP","TOT","PC_CHGPP","A","2016",2.132727784,
"SVK","QGDP","TOT","PC_CHGPP","A","2017",2.989520318,
"SVK","QGDP","TOT","PC_CHGPP","A","2018",3.650123358,
"SVK","QGDP","TOT","PC_CHGPP","A","2019",2.511588141,
"SVK","QGDP","TOT","PC_CHGPP","A","2020",-4.754325341,
"FIN","QGDP","TOT","PC_CHGPP","A","2016",2.811457767,
"FIN","QGDP","TOT","PC_CHGPP","A","2017",3.19240963,
"FIN","QGDP","TOT","PC_CHGPP","A","2018",1.311835053,
"FIN","QGDP","TOT","PC_CHGPP","A","2019",1.273282631,
"FIN","QGDP","TOT","PC_CHGPP","A","2020",-2.702291602,
"TUR","QGDP","TOT","PC_CHGPP","A","2016",3.323084167,
"TUR","QGDP","TOT","PC_CHGPP","A","2017",7.501997437,
"TUR","QGDP","TOT","PC_CHGPP","A","2018",2.958966752,
"TUR","QGDP","TOT","PC_CHGPP","A","2019",0.916534779,
"TUR","QGDP","TOT","PC_CHGPP","A","2020",1.756650805,
"GRC","QGDP","TOT","PC_CHGPP","A","2016",-0.489853175,"P"
"GRC","QGDP","TOT","PC_CHGPP","A","2017",1.280825333,"P"
"GRC","QGDP","TOT","PC_CHGPP","A","2018",1.558975411,"P"
"GRC","QGDP","TOT","PC_CHGPP","A","2019",1.856675228,"P"
"GRC","QGDP","TOT","PC_CHGPP","A","2020",-8.247734406,"P"
"NZL","QGDP","TOT","PC_CHGPP","A","2016",3.938032991,
"NZL","QGDP","TOT","PC_CHGPP","A","2017",3.524018954,
"NZL","QGDP","TOT","PC_CHGPP","A","2018",3.413088803,
"NZL","QGDP","TOT","PC_CHGPP","A","2019",2.421510472,
"NZL","QGDP","TOT","PC_CHGPP","A","2020",-2.943826019,
"ARG","QGDP","TOT","PC_CHGPP","A","2016",-2.080328,
"ARG","QGDP","TOT","PC_CHGPP","A","2017",2.818502971,
"ARG","QGDP","TOT","PC_CHGPP","A","2018",-2.565351876,
"ARG","QGDP","TOT","PC_CHGPP","A","2019",-2.088014864,
"ARG","QGDP","TOT","PC_CHGPP","A","2020",-9.905234849,
"SVN","QGDP","TOT","PC_CHGPP","A","2016",3.191853639,
"SVN","QGDP","TOT","PC_CHGPP","A","2017",4.793549353,
"SVN","QGDP","TOT","PC_CHGPP","A","2018",4.384499742,
"SVN","QGDP","TOT","PC_CHGPP","A","2019",3.18434306,
"SVN","QGDP","TOT","PC_CHGPP","A","2020",-5.532209056,
"GBR","QGDP","TOT","PC_CHGPP","A","2016",1.722385879,
"GBR","QGDP","TOT","PC_CHGPP","A","2017",1.740309449,
"GBR","QGDP","TOT","PC_CHGPP","A","2018",1.252590654,
"GBR","QGDP","TOT","PC_CHGPP","A","2019",1.434266259,
"GBR","QGDP","TOT","PC_CHGPP","A","2020",-9.846670512,
"AUS","QGDP","TOT","PC_CHGPP","A","2016",2.729786788,
"AUS","QGDP","TOT","PC_CHGPP","A","2017",2.440911147,
"AUS","QGDP","TOT","PC_CHGPP","A","2018",2.882384982,
"AUS","QGDP","TOT","PC_CHGPP","A","2019",1.94104901,
"AUS","QGDP","TOT","PC_CHGPP","A","2020",-2.452125412,
"USA","QGDP","TOT","PC_CHGPP","A","2016",1.711424912,
"USA","QGDP","TOT","PC_CHGPP","A","2017",2.332681265,
"USA","QGDP","TOT","PC_CHGPP","A","2018",2.996462253,
"USA","QGDP","TOT","PC_CHGPP","A","2019",2.161177627,
"USA","QGDP","TOT","PC_CHGPP","A","2020",-3.48626401,
"IND","QGDP","TOT","PC_CHGPP","A","2016",9.002096,
"IND","QGDP","TOT","PC_CHGPP","A","2017",6.09917,
"IND","QGDP","TOT","PC_CHGPP","A","2018",7.32438,
"IND","QGDP","TOT","PC_CHGPP","A","2019",4.7794,
"IND","QGDP","TOT","PC_CHGPP","A","2020",-6.96907,
"IRL","QGDP","TOT","PC_CHGPP","A","2016",1.993759887,
"IRL","QGDP","TOT","PC_CHGPP","A","2017",9.129440553,
"IRL","QGDP","TOT","PC_CHGPP","A","2018",8.51639513,
"IRL","QGDP","TOT","PC_CHGPP","A","2019",5.565200242,
"IRL","QGDP","TOT","PC_CHGPP","A","2020",3.417822311,
"LVA","QGDP","TOT","PC_CHGPP","A","2016",2.372924031,
"LVA","QGDP","TOT","PC_CHGPP","A","2017",3.250712207,
"LVA","QGDP","TOT","PC_CHGPP","A","2018",4.024315051,
"LVA","QGDP","TOT","PC_CHGPP","A","2019",2.02711322,
"LVA","QGDP","TOT","PC_CHGPP","A","2020",-3.623683916,
"ZAF","QGDP","TOT","PC_CHGPP","A","2016",0.399056,
"ZAF","QGDP","TOT","PC_CHGPP","A","2017",1.414581,
"ZAF","QGDP","TOT","PC_CHGPP","A","2018",0.787014,
"ZAF","QGDP","TOT","PC_CHGPP","A","2019",0.152584,
"ZAF","QGDP","TOT","PC_CHGPP","A","2020",-6.982392702,
"CZE","QGDP","TOT","PC_CHGPP","A","2016",2.53728452,
"CZE","QGDP","TOT","PC_CHGPP","A","2017",5.168724304,
"CZE","QGDP","TOT","PC_CHGPP","A","2018",3.198656101,
"CZE","QGDP","TOT","PC_CHGPP","A","2019",2.313605202,
"CZE","QGDP","TOT","PC_CHGPP","A","2020",-5.602303764,
"DEU","QGDP","TOT","PC_CHGPP","A","2016",2.22999986,
"DEU","QGDP","TOT","PC_CHGPP","A","2017",2.604421317,
"DEU","QGDP","TOT","PC_CHGPP","A","2018",1.267964694,
"DEU","QGDP","TOT","PC_CHGPP","A","2019",0.555437816,
"DEU","QGDP","TOT","PC_CHGPP","A","2020",-4.765359801,"P"
"POL","QGDP","TOT","PC_CHGPP","A","2016",3.141753539,
"POL","QGDP","TOT","PC_CHGPP","A","2017",4.830676237,
"POL","QGDP","TOT","PC_CHGPP","A","2018",5.353680341,
"POL","QGDP","TOT","PC_CHGPP","A","2019",4.744963622,
"POL","QGDP","TOT","PC_CHGPP","A","2020",-2.687043362,
"CHE","QGDP","TOT","PC_CHGPP","A","2016",2.045186506,
"CHE","QGDP","TOT","PC_CHGPP","A","2017",1.584819589,
"CHE","QGDP","TOT","PC_CHGPP","A","2018",3.013405119,
"CHE","QGDP","TOT","PC_CHGPP","A","2019",1.081930797,
"CHE","QGDP","TOT","PC_CHGPP","A","2020",-2.610861866,
"NLD","QGDP","TOT","PC_CHGPP","A","2016",2.191714,
"NLD","QGDP","TOT","PC_CHGPP","A","2017",2.910989684,
"NLD","QGDP","TOT","PC_CHGPP","A","2018",2.360689265,"P"
"NLD","QGDP","TOT","PC_CHGPP","A","2019",1.677483568,"P"
"NLD","QGDP","TOT","PC_CHGPP","A","2020",-3.739605241,"P"
"MEX","QGDP","TOT","PC_CHGPP","A","2016",2.630532422,
"MEX","QGDP","TOT","PC_CHGPP","A","2017",2.113129147,"P"
"MEX","QGDP","TOT","PC_CHGPP","A","2018",2.194994739,"P"
"MEX","QGDP","TOT","PC_CHGPP","A","2019",-0.176599486,"P"
"MEX","QGDP","TOT","PC_CHGPP","A","2020",-8.309034649,"P"
"ISR","QGDP","TOT","PC_CHGPP","A","2016",3.826449591,
"ISR","QGDP","TOT","PC_CHGPP","A","2017",3.570294527,
"ISR","QGDP","TOT","PC_CHGPP","A","2018",3.586492717,
"ISR","QGDP","TOT","PC_CHGPP","A","2019",3.404501577,
"ISR","QGDP","TOT","PC_CHGPP","A","2020",-2.532276799,
"SAU","QGDP","TOT","PC_CHGPP","A","2016",1.670664252,
"SAU","QGDP","TOT","PC_CHGPP","A","2017",-0.741528414,
"SAU","QGDP","TOT","PC_CHGPP","A","2018",2.434099084,
"SAU","QGDP","TOT","PC_CHGPP","A","2019",0.33142321,
"SAU","QGDP","TOT","PC_CHGPP","A","2020",-4.106567166,
"ISL","QGDP","TOT","PC_CHGPP","A","2016",6.303687125,
"ISL","QGDP","TOT","PC_CHGPP","A","2017",4.19494881,
"ISL","QGDP","TOT","PC_CHGPP","A","2018",4.714813819,
"ISL","QGDP","TOT","PC_CHGPP","A","2019",2.569011551,
"ISL","QGDP","TOT","PC_CHGPP","A","2020",-6.649105412,
"SWE","QGDP","TOT","PC_CHGPP","A","2016",2.070585689,
"SWE","QGDP","TOT","PC_CHGPP","A","2017",2.567929508,
"SWE","QGDP","TOT","PC_CHGPP","A","2018",1.950017018,
"SWE","QGDP","TOT","PC_CHGPP","A","2019",1.986194673,
"SWE","QGDP","TOT","PC_CHGPP","A","2020",-2.773080504,
"CHN","QGDP","TOT","PC_CHGPP","A","2016",6.8,
"CHN","QGDP","TOT","PC_CHGPP","A","2017",6.9,
"CHN","QGDP","TOT","PC_CHGPP","A","2018",6.7,
"CHN","QGDP","TOT","PC_CHGPP","A","2019",6,
"CHN","QGDP","TOT","PC_CHGPP","A","2020",2.3,
"CAN","QGDP","TOT","PC_CHGPP","A","2016",1.001394,
"CAN","QGDP","TOT","PC_CHGPP","A","2017",3.039880194,
"CAN","QGDP","TOT","PC_CHGPP","A","2018",2.429547587,
"CAN","QGDP","TOT","PC_CHGPP","A","2019",1.861415344,
"CAN","QGDP","TOT","PC_CHGPP","A","2020",-5.31294475,
"FRA","QGDP","TOT","PC_CHGPP","A","2016",1.095509895,
"FRA","QGDP","TOT","PC_CHGPP","A","2017",2.2914179,
"FRA","QGDP","TOT","PC_CHGPP","A","2018",1.865019943,
"FRA","QGDP","TOT","PC_CHGPP","A","2019",1.843058354,
"FRA","QGDP","TOT","PC_CHGPP","A","2020",-7.855245943,
"RUS","QGDP","TOT","PC_CHGPP","A","2016",0.193671,
"RUS","QGDP","TOT","PC_CHGPP","A","2017",1.825809,
"RUS","QGDP","TOT","PC_CHGPP","A","2018",2.807245455,
"RUS","QGDP","TOT","PC_CHGPP","A","2019",2.032982588,
"RUS","QGDP","TOT","PC_CHGPP","A","2020",-2.951273678,
"BRA","QGDP","TOT","PC_CHGPP","A","2016",-3.275916915,
"BRA","QGDP","TOT","PC_CHGPP","A","2017",1.322869048,
"BRA","QGDP","TOT","PC_CHGPP","A","2018",1.783666773,
"BRA","QGDP","TOT","PC_CHGPP","A","2019",1.411152975,
"BRA","QGDP","TOT","PC_CHGPP","A","2020",-4.059048264,
"LUX","QGDP","TOT","PC_CHGPP","A","2016",4.574441917,"P"
"LUX","QGDP","TOT","PC_CHGPP","A","2017",1.800930516,"P"
"LUX","QGDP","TOT","PC_CHGPP","A","2018",3.111082703,"P"
"LUX","QGDP","TOT","PC_CHGPP","A","2019",2.297881686,"P"
"LUX","QGDP","TOT","PC_CHGPP","A","2020",-1.314027362,"P"
"PRT","QGDP","TOT","PC_CHGPP","A","2016",2.01948567,
"PRT","QGDP","TOT","PC_CHGPP","A","2017",3.506344912,
"PRT","QGDP","TOT","PC_CHGPP","A","2018",2.849326303,
"PRT","QGDP","TOT","PC_CHGPP","A","2019",2.488958693,"P"
"PRT","QGDP","TOT","PC_CHGPP","A","2020",-7.565630759,"E"
"ITA","QGDP","TOT","PC_CHGPP","A","2016",1.293402322,
"ITA","QGDP","TOT","PC_CHGPP","A","2017",1.667854072,
"ITA","QGDP","TOT","PC_CHGPP","A","2018",0.941690873,
"ITA","QGDP","TOT","PC_CHGPP","A","2019",0.28738633,
"ITA","QGDP","TOT","PC_CHGPP","A","2020",-8.871179153,
"CHL","QGDP","TOT","PC_CHGPP","A","2016",1.71108929,
"CHL","QGDP","TOT","PC_CHGPP","A","2017",1.184544715,
"CHL","QGDP","TOT","PC_CHGPP","A","2018",3.713859168,
"CHL","QGDP","TOT","PC_CHGPP","A","2019",0.942005313,
"CHL","QGDP","TOT","PC_CHGPP","A","2020",-5.771501671,
"OECDE","QGDP","TOT","PC_CHGPP","A","2016",2.073716,
"OECDE","QGDP","TOT","PC_CHGPP","A","2017",3.076726,
"OECDE","QGDP","TOT","PC_CHGPP","A","2018",2.162669,
"OECDE","QGDP","TOT","PC_CHGPP","A","2019",1.566067,
"OECDE","QGDP","TOT","PC_CHGPP","A","2020",-5.752798,
"G-7","QGDP","TOT","PC_CHGPP","A","2016",1.529292,
"G-7","QGDP","TOT","PC_CHGPP","A","2017",2.213611,
"G-7","QGDP","TOT","PC_CHGPP","A","2018",2.104368,
"G-7","QGDP","TOT","PC_CHGPP","A","2019",1.493502,
"G-7","QGDP","TOT","PC_CHGPP","A","2020",-5.020153,
"G-20","QGDP","TOT","PC_CHGPP","A","2016",3.2063,
"G-20","QGDP","TOT","PC_CHGPP","A","2017",3.71933,
"G-20","QGDP","TOT","PC_CHGPP","A","2018",3.6507,
"G-20","QGDP","TOT","PC_CHGPP","A","2019",2.82114,
"G-20","QGDP","TOT","PC_CHGPP","A","2020",-3.3,
"COL","QGDP","TOT","PC_CHGPP","A","2016",2.087382502,
"COL","QGDP","TOT","PC_CHGPP","A","2017",1.359360868,
"COL","QGDP","TOT","PC_CHGPP","A","2018",2.564324283,
"COL","QGDP","TOT","PC_CHGPP","A","2019",3.281116805,
"COL","QGDP","TOT","PC_CHGPP","A","2020",-6.795758107,
"EA19","QGDP","TOT","PC_CHGPP","A","2016",1.862039,
"EA19","QGDP","TOT","PC_CHGPP","A","2017",2.604667,
"EA19","QGDP","TOT","PC_CHGPP","A","2018",1.881993,
"EA19","QGDP","TOT","PC_CHGPP","A","2019",1.289316,
"EA19","QGDP","TOT","PC_CHGPP","A","2020",-6.5213,
"LTU","QGDP","TOT","PC_CHGPP","A","2016",2.518826498,
"LTU","QGDP","TOT","PC_CHGPP","A","2017",4.282598332,
"LTU","QGDP","TOT","PC_CHGPP","A","2018",3.936844727,
"LTU","QGDP","TOT","PC_CHGPP","A","2019",4.338861587,
"LTU","QGDP","TOT","PC_CHGPP","A","2020",-0.871905327,
"BGR","QGDP","TOT","PC_CHGPP","A","2016",3.82043453,
"BGR","QGDP","TOT","PC_CHGPP","A","2017",3.502750452,
"BGR","QGDP","TOT","PC_CHGPP","A","2018",3.092448727,
"BGR","QGDP","TOT","PC_CHGPP","A","2019",3.69430838,
"BGR","QGDP","TOT","PC_CHGPP","A","2020",-4.153703804,"P"
"ROU","QGDP","TOT","PC_CHGPP","A","2016",4.697755782,
"ROU","QGDP","TOT","PC_CHGPP","A","2017",7.342615732,
"ROU","QGDP","TOT","PC_CHGPP","A","2018",4.474501109,
"ROU","QGDP","TOT","PC_CHGPP","A","2019",4.116716087,"P"
"ROU","QGDP","TOT","PC_CHGPP","A","2020",-3.875610069,"P"
"EU27_2020","QGDP","TOT","PC_CHGPP","A","2016",2.008372,
"EU27_2020","QGDP","TOT","PC_CHGPP","A","2017",2.806501,
"EU27_2020","QGDP","TOT","PC_CHGPP","A","2018",2.114568,
"EU27_2020","QGDP","TOT","PC_CHGPP","A","2019",1.58437,
"EU27_2020","QGDP","TOT","PC_CHGPP","A","2020",-6.083958,
"CRI","QGDP","TOT","PC_CHGPP","A","2016",4.204323248,
"CRI","QGDP","TOT","PC_CHGPP","A","2017",4.157698963,
"CRI","QGDP","TOT","PC_CHGPP","A","2018",2.056202732,
"CRI","QGDP","TOT","PC_CHGPP","A","2019",2.167951808,
"CRI","QGDP","TOT","PC_CHGPP","A","2020",-4.539965916,
